"Story","Title","Result","Date","Stability","Duration (s)"
"Automatizar ver nota en sicau","automatizar proceso de ver nota","SUCCESS","2025-04-23T23:40:06.2527193-05:00[America/Bogota]","0.0","0.3"
"Automatizar ver nota en sicau","automatizar proceso de ver nota","SUCCESS","2025-04-24T00:50:38.921585-05:00[America/Bogota]","0.0","16.62"
